	CC
Caluromys_lanatus	273.3
Caluromys_philander	224.27
Chironectes_minimus	297.5
Cryptonanus_agricolai	85.5
Cryptonanus_chacoensis	91
Cryptonanus_guahybae	92
Didelphis_albiventris	360.69
Didelphis_aurita	402.5
Didelphis_marsupialis	452.5
Dromiciops_gliroides	190
Gracilianus_agilis	95.33
Gracilinanus_microtarsus	91.69
Lutreolina_crassicaudata	324.99
Micoureus_constantiae	142
Micoureus_demerarae	175
Micoureus_paraguayanus	196
Micoureus_regina	230
Marmosa_murina	120.57
Marmosa_robinsoni	149
Marmosops_bishopi	103.46
Marmosops_incanus	131.5
Marmosops_noctivagus	135
Marmosops_ocellatus	122
Marmosops_parvidens	100
Marmosops_paulensis	125.5
Marmosops_pinheiroi	107.5
Metachirus_nudicaudatus	355
Monodelphis_adusta	110.13
Monodelphis_americana	103
Monodelphis_brevicaudata	140.5
Monodelphis_dimidiata	99.6
Monodelphis_domestica	151
Monodelphis_scalops	87
Monodelphis_iheringi	82.5
Monodelphis_kunsi	139.1
Monodelphis_touan	159
Monodelphis_umbristriata	123
Philander_andersoni	265
Philander_frenatus	260
Philander_opossum	300.5
Thylamys_elegans	120.71
Thylamys_karimii	103.5
Thylamys_macrurus	127.27
Thylamys_pusillus	100.1
Thylamys_sponsorius	100
Thylamys_velutinus	49.99
Abrawayaomys_ruschi	125.5
Abrothrix_andinus	146.8
Abrothrix_illuteus	111
Abrothrix_longipilis	107.18
Abrothrix_olivaceus	164
Akodon_aerosus	110.5
Akodon_azarae	94
Akodon_cursor	104
Akodon_dayi	121
Akodon_lutescens	79.5
Akodon_molinae	101.5
Akodon_montensis	107
Akodon_mystax	85
Akodon_paranaensis	109.8
Akodon_reigi	107.5
Akodon_serrensis	97.6
Akodon_simulator	111
Akodon_spegazzinii	91.5
Akodon_toba	118.6
Andalgalomys_pearsoni	109
Andinomys_edax	163
Bibimys_labiosus	85
Blarinomys_breviceps	105
Brucepattersonius_griserufescens	103
Brucepattersonius_iheringi	100
Brucepattersonius_soricinus	103
Calomys_callosus	98
Calomys_expulsus	99.7
Calomys_laucha	65
Calomys_lepidus	69.5
Calomys_musculinus	96
Calomys_tener	77.5
Calomys_tocantinsi	90.1
Cerradomys_langguthi	136.3
Cerradomys_maracajuensis	167
Cerradomys_marinhus	168
Cerradomys_scotti	134
Cerradomys_subflavus	160
Cerradomys_vivoi	143.31
Chelemys_macronyx	129
Delomys_collinus	253
Delomys_dorsalis	127
Delomys_sublineatus	125
Drymoreomys_albimaculatus	136.3
Eligmodontia_puerulus	84.8
Eligmodontia_typus	83.5
Euryoryzomys_emmonsae	137.7
Euryoryzomys_lamia	141
Euryoryzomys_macconnelli	290.8
Euryoryzomys_nitidus	259.8
Euryoryzomys_russatus	135
Geoxus_valdivianus	96
Graomys_griseoflavus	85.5
Holochilus_brasiliensis	193
Holochilus_chacarius	164
Holochilus_sciureus	164
Hylaeamys_acritus	145
Hylaeamys_laticeps	275.8
Hylaeamys_megacephalus	236
Hylaeamys_oniscus	221.15
Hylaeamys_yunganus	227.8
Irenomys_tarsalis	109.16
Juliomys_ossitenuis	201.5
Juliomys_pictipes	94
Juscelinomys_huanchacae	172
Kunsia_tomentosus	235.3
Loxodontomys_micropus	128.95
Lundomys_molitor	193
Microryzomys_minutus	76
Neacomys_dubosti	76
Neacomys_paracou	73
Neacomys_spinosus	182
Neacomys_tenuipes	83
Necromys_lactens	145.5
Necromys_lasiurus	123
Necromys_lenguarum	123
Necromys_obscurus	190.5
Nectomys_rattus	210.8
Nectomys_squamipes	200.7
Nephelomys_keaysi	159.47
Oecomys_auyantepui	110
Oecomys_bicolor	94
Oecomys_catherinae	141
Oecomys_concolor	128
Oecomys_mamorae	136
Oecomys_paricola	100
Oecomys_rex	152
Oecomys_roberti	286.7
Oecomys_rutilus	84
Oecomys_speciosus	152.52
Oecomys_trinitatis	293.5
Oligoryzomys_chacoensis	223.4
Oligoryzomys_destructor	92
Oligoryzomys_flavescens	87
Oligoryzomys_fornesi	72.3
Oligoryzomys_fulvencens	80.5
Oligoryzomys_longicaudatus	99
Oligoryzomys_microtis	89
Oligoryzomys_nigripes	92
Oligoryzomys_rupestris	82.9
Oligoryzomys_stramineus	94.3
Oxymycterus_caparaoe	128.9
Oxymycterus_dasytrichus	148.8
Oxymycterus_delator	144.5
Oxymycterus_hispidus	165.25
Oxymycterus_judex	150.2
Oxymycterus_nasutus	123.3
Oxymycterus_robertii	127
Phyllotis_darwini	124
Phyllotis_magister	132
Phyllotis_osilae	126
Phyllotis_xanthopygus	127.5
Pseudoryzomys_simplex	115
Rhagomys_rufecens	85.5
Rhipidomys_ipukensis	121
Rhipidomys_leucodactylus	349
Rhipidomys_macrurus	133.4
Rhipidomys_mastacalis	136.7
Rhipidomys_nitela	115.5
Scapteromys_tumidus	172
Scolomys_melanops	94.5
Sigmodon_alstoni	137
Sigmodon_hispidus	167.5
Sooretamys_angouya	161
Thalpomys_cerradensis	101
Thalpomys_lasiotis	80.7
Thaptomys_nigrita	90.6
Wiedomys_pyrrhorhinos	100
Zygodontomys_brevicauda	121.5
